96
12	0	0.569
12	1	0.665
12	2	0.558
12	3	0.321
12	4	0.422
12	5	0.446
12	6	0.66
12	7	0.799
12	8	0.697
12	9	0.577
12	10	0.825
12	11	0.702
12	12	1.222
12	13	0.86
12	14	1.067
12	15	0.642
12	16	0.639
12	17	0.49
12	18	0.809
12	19	0.551
12	20	0.354
12	21	0.673
12	22	0.545
12	23	0.341
13	0	0.467
13	1	0.504
13	2	1.169
13	3	0.454
13	4	0.264
13	5	0.493
13	6	0.632
13	7	0.557
13	8	0.688
13	9	0.593
13	10	0.545
13	11	0.584
13	12	0.522
13	13	0.802
13	14	1.112
13	15	0.942
13	16	0.905
13	17	0.962
13	18	0.783
13	19	0.687
13	20	0.561
13	21	0.523
13	22	0.454
13	23	0.485
14	0	0.775
14	1	1.092
14	2	0.768
14	3	0.307
14	4	0.467
14	5	0.447
14	6	0.812
14	7	0.711
14	8	0.616
14	9	0.605
14	10	0.552
14	11	0.441
14	12	0.862
14	13	1.07
14	14	0.698
14	15	0.51
14	16	0.618
14	17	0.588
14	18	0.746
14	19	0.397
14	20	0.35
14	21	0.329
14	22	0.248
14	23	0.32
15	0	0.409
15	1	0.318
15	2	0.247
15	3	0.286
15	4	0.234
15	5	0.418
15	6	0.492
15	7	0.374
15	8	0.234
15	9	0.316
15	10	0.372
15	11	0.267
15	12	1.383
15	13	0.778
15	14	0.426
15	15	0.295
15	16	0.378
15	17	0.262
15	18	0.384
15	19	0.202
15	20	0.168
15	21	0.229
15	22	0.354
15	23	0.185
